State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Gujarat,Lenovo,2299392,126380032,0.01819426663857784
Gujarat,Motorola,1898280,126380032,0.015020410819329434
Gujarat,OnePlus,2688945,126380032,0.021276660224298725
Gujarat,Oppo,17558647,126380032,0.13893529477821306
Gujarat,Others,8095140,126380032,0.06405394801609166
Gujarat,Realme,5294853,126380032,0.04189627836144241
Gujarat,Samsung,26297940,126380032,0.20808619513563661
Gujarat,Vivo,27266377,126380032,0.21574909080573743
Gujarat,Xiaomi,28942157,126380032,0.22900893869056782
Haryana,Apple,3776648,85564119,0.04413822106904414
Haryana,Huawei,1437983,85564119,0.01680591136572095
Haryana,Lenovo,916263,85564119,0.010708495695491238
Haryana,Motorola,1761147,85564119,0.02058277488955388
Haryana,OnePlus,1701514,85564119,0.019885835556841296
Haryana,Oppo,10707977,85564119,0.12514564662320662
Haryana,Others,7061544,85564119,0.08252926673621218
Haryana,Realme,4581526,85564119,0.053544944464396345
Haryana,Samsung,17085031,85564119,0.19967518160269962
Haryana,Tecno,108879,85564119,0.0012724843225464637
Haryana,Vivo,15323465,85564119,0.1790875098006911
Haryana,Xiaomi,21102142,85564119,0.24662372787359618
Himachal Pradesh,Apple,339193,13373980,0.025362158459934888
Himachal Pradesh,Gionee,184823,13373980,0.013819595961710725
Himachal Pradesh,Huawei,66412,13373980,0.0049657618749242936
Himachal Pradesh,Lava,242938,13373980,0.018164974076527705
Himachal Pradesh,Lenovo,44890,13373980,0.0033565176559259098
Himachal Pradesh,Micromax,190090,13373980,0.014213420387947342
Himachal Pradesh,Motorola,295633,13373980,0.02210508764032846
Himachal Pradesh,Oppo,1560313,13373980,0.11666781317154654
Himachal Pradesh,Others,1911738,13373980,0.1429445834373911
Himachal Pradesh,Realme,798115,13373980,0.05967670057828709
Himachal Pradesh,Samsung,2017934,13373980,0.15088507684324337
Himachal Pradesh,Vivo,1743013,13373980,0.130328668055433
Himachal Pradesh,Xiaomi,3978888,13373980,0.29750964185679957
Jammu & Kashmir,Apple,285602,9756438,0.02927318351226134
Jammu & Kashmir,Huawei,93432,9756438,0.009576445829922765
Jammu & Kashmir,Lenovo,96567,9756438,0.009897772117241969
Jammu & Kashmir,Micromax,17493,9756438,0.001792969934314142
Jammu & Kashmir,Motorola,134382,9756438,0.013773674367632941
Jammu & Kashmir,OnePlus,141906,9756438,0.014544857457199032
Jammu & Kashmir,Oppo,941471,9756438,0.09649741022287027
Jammu & Kashmir,Others,709910,9756438,0.07276323592688233
Jammu & Kashmir,Realme,438431,9756438,0.04493760940211991
Jammu & Kashmir,Samsung,2089663,9756438,0.2141829835847878
Jammu & Kashmir,Vivo,1335761,9756438,0.13691072500025112
Jammu & Kashmir,Xiaomi,3471820,9756438,0.3558491326445164
Jharkhand,Apple,534387,44768682,0.01193662569740159
Jharkhand,Asus,45472,44768682,0.0010157100448031952
Jharkhand,Gionee,256957,44768682,0.005739659702289203
Jharkhand,Huawei,559998,44768682,0.012508699720040898
Jharkhand,Lenovo,748975,44768682,0.016729887201057204
Jharkhand,Micromax,207449,44768682,0.004633797349674043
Jharkhand,Motorola,931966,44768682,0.020817365139317704
Jharkhand,Oppo,5372974,44768682,0.12001635428981358
Jharkhand,Others,4365876,44768682,0.09752076239367512
Jharkhand,Realme,3581462,44768682,0.07999927270586166
Jharkhand,Samsung,8298644,44768682,0.18536717252475737
Jharkhand,Tecno,51242,44768682,0.0011445947861498356
Jharkhand,Vivo,6989257,44768682,0.15611933806762504
Jharkhand,Xiaomi,12824023,44768682,0.2864507603775336
Karnataka,Apple,8296101,203098564,0.04084765956296963
Karnataka,Huawei,3824211,203098564,0.01882933549446465
Karnataka,Lenovo,3610977,203098564,0.017779431468555335
Karnataka,Motorola,6343440,203098564,0.031233307981439
Karnataka,OnePlus,7493157,203098564,0.036894189955966404
Karnataka,Oppo,22312718,203098564,0.10986152516568261
Karnataka,Others,13890304,203098564,0.06839193604539714
Karnataka,Realme,7252267,203098564,0.03570811559258489
Karnataka,Samsung,40857150,203098564,0.20116907375081194
Karnataka,Vivo,36622894,203098564,0.18032079242076768
Karnataka,Xiaomi,52595345,203098564,0.2589646325613607
Kerala,Apple,3092890,51267042,0.060329012155606716
Kerala,Huawei,3102358,51267042,0.06051369220794912
Kerala,Lenovo,1190696,51267042,0.023225369624407043
Kerala,Motorola,1217723,51267042,0.023752550420209538
Kerala,OnePlus,1269354,51267042,0.024759649679027707
Kerala,Oppo,5349034,51267042,0.10433670036980093
Kerala,Others,4263917,51267042,0.08317072399066831
Kerala,Realme,2630548,51267042,0.05131070366806027
Kerala,Samsung,10939278,51267042,0.21337837279552818
Kerala,Vivo,5939775,51267042,0.11585952238086995
Kerala,Xiaomi,12271469,51267042,0.23936370270787224
Ladakh,Apple,13863,579825,0.023908938041650497
Ladakh,Huawei,7577,579825,0.013067735954813952
Ladakh,Lenovo,5622,579825,0.009696028974259474
Ladakh,Micromax,305,579825,0.00052602078213254
Ladakh,Motorola,9171,579825,0.01581684128831975
Ladakh,OnePlus,12918,579825,0.022279135946190663
Ladakh,Oppo,83795,579825,0.14451774242228257
Ladakh,Others,25122,579825,0.04332686586470055
Ladakh,Realme,29680,579825,0.0511878584055534
Ladakh,Samsung,103750,579825,0.1789332988401673
Ladakh,Vivo,121005,579825,0.20869227784245245
Ladakh,Xiaomi,167017,579825,0.28804725563747685
Lakshadweep,Apple,989,34223,0.02889869386085381
Lakshadweep,COOLPAD,10,34223,0.000292201151272536
Lakshadweep,Gionee,43,34223,0.0012564649504719048
Lakshadweep,Huawei,2668,34223,0.07795926715951261
Lakshadweep,Lenovo,500,34223,0.0146100575636268
