Density,Transactions
302.0,79500
497.0,43026
0.0,53523
383.0,110193
436.0,162592
2010.0,686010
93.0,53526
673.0,62738
283.0,54606
457.0,76772
300.0,16498
738.0,435103
763.0,61931
431.0,64113
362.0,165399
347.0,127171
497.0,51801
99.0,8729
475.0,75377
520.0,262834
425.0,91061
459.0,206705
440.0,49174
244.0,32379
491.0,76056
213.0,69519
687.0,129363
393.0,180303
44.0,26119
553.0,113947
302.0,87815
497.0,51401
0.0,61983
383.0,125165
436.0,205094
2010.0,1306775
93.0,62301
673.0,76238
283.0,60413
457.0,84448
300.0,15485
738.0,265767
763.0,70290
431.0,73524
362.0,197716
347.0,147896
497.0,57339
99.0,11141
475.0,70162
520.0,228864
425.0,80689
459.0,177976
440.0,45010
244.0,31621
491.0,70387
213.0,66560
687.0,101070
393.0,169357
44.0,28118
553.0,97473
302.0,89403
497.0,47321
0.0,63598
383.0,129744
436.0,176995
2010.0,2488968
93.0,62877
673.0,70635
283.0,58445
457.0,88545
300.0,13800
738.0,231423
763.0,64729
431.0,74192
362.0,192707
347.0,148294
497.0,51326
99.0,10260
475.0,92868
520.0,262253
425.0,104703
459.0,242781
440.0,59490
244.0,45161
491.0,90156
213.0,90986
687.0,115968
393.0,230118
44.0,41878
553.0,119928
302.0,121795
497.0,62134
0.0,84120
383.0,167468
436.0,222439
2010.0,2188998
93.0,83280
673.0,96450
283.0,77004
457.0,115808
300.0,19170
738.0,258566
763.0,82814
431.0,101503
362.0,257623
347.0,196245
497.0,69169
99.0,14546
475.0,106632
520.0,295624
425.0,119397
459.0,273506
440.0,70323
244.0,51791
491.0,98623
213.0,103033
687.0,134357
393.0,255885
44.0,45414
553.0,139662
302.0,138710
497.0,67877
0.0,95246
383.0,185402
436.0,249708
2010.0,2510384
93.0,95122
673.0,108697
283.0,90371
457.0,129734
300.0,20488
738.0,287586
763.0,95723
431.0,112099
362.0,298139
347.0,224113
497.0,77332
99.0,17914
475.0,139164
520.0,367963
425.0,154338
459.0,375774
440.0,88911
244.0,69572
491.0,130156
213.0,132751
687.0,171651
393.0,317878
44.0,57312
553.0,178776
302.0,179380
497.0,94255
0.0,116561
383.0,232108
436.0,322830
2010.0,3338601
93.0,113535
673.0,149784
283.0,114668
457.0,170709
300.0,25164
738.0,360749
763.0,123597
