State,Period,Transaction Type,Transactions
Haryana,2018-Q4,Peer-to-peer payments,5905032
Haryana,2019-Q1,Peer-to-peer payments,12622225
Haryana,2019-Q2,Peer-to-peer payments,10387562
Haryana,2019-Q3,Peer-to-peer payments,11775288
Haryana,2019-Q4,Peer-to-peer payments,15729819
Haryana,2020-Q1,Peer-to-peer payments,17728235
Haryana,2020-Q2,Peer-to-peer payments,17334369
Haryana,2020-Q3,Peer-to-peer payments,24123449
Haryana,2020-Q4,Merchant payments,34063692
Haryana,2021-Q1,Merchant payments,39363588
Haryana,2021-Q2,Merchant payments,45335533
Himachal Pradesh,2018-Q1,Recharge & bill payments,284371
Himachal Pradesh,2018-Q2,Recharge & bill payments,385642
Himachal Pradesh,2018-Q3,Recharge & bill payments,457449
Himachal Pradesh,2018-Q4,Recharge & bill payments,598325
Himachal Pradesh,2019-Q1,Peer-to-peer payments,1178280
Himachal Pradesh,2019-Q2,Peer-to-peer payments,1141873
Himachal Pradesh,2019-Q3,Recharge & bill payments,1212659
Himachal Pradesh,2019-Q4,Peer-to-peer payments,1579582
Himachal Pradesh,2020-Q1,Recharge & bill payments,1815157
Himachal Pradesh,2020-Q2,Recharge & bill payments,2558935
Himachal Pradesh,2020-Q3,Recharge & bill payments,2416395
Himachal Pradesh,2020-Q4,Recharge & bill payments,2638030
Himachal Pradesh,2021-Q1,Peer-to-peer payments,2845733
Himachal Pradesh,2021-Q2,Peer-to-peer payments,3340531
Jammu & Kashmir,2018-Q1,Recharge & bill payments,457813
Jammu & Kashmir,2018-Q2,Recharge & bill payments,794502
Jammu & Kashmir,2018-Q3,Peer-to-peer payments,1260453
Jammu & Kashmir,2018-Q4,Peer-to-peer payments,1265457
Jammu & Kashmir,2019-Q1,Peer-to-peer payments,1913720
Jammu & Kashmir,2019-Q2,Peer-to-peer payments,1180781
Jammu & Kashmir,2019-Q3,Peer-to-peer payments,618694
Jammu & Kashmir,2019-Q4,Peer-to-peer payments,310620
Jammu & Kashmir,2020-Q1,Peer-to-peer payments,435154
Jammu & Kashmir,2020-Q2,Peer-to-peer payments,1238380
Jammu & Kashmir,2020-Q3,Peer-to-peer payments,1787154
Jammu & Kashmir,2020-Q4,Peer-to-peer payments,2378539
Jammu & Kashmir,2021-Q1,Peer-to-peer payments,2800201
Jammu & Kashmir,2021-Q2,Peer-to-peer payments,3955437
Jharkhand,2018-Q1,Recharge & bill payments,1095857
Jharkhand,2018-Q2,Recharge & bill payments,1398777
Jharkhand,2018-Q3,Peer-to-peer payments,6003688
Jharkhand,2018-Q4,Peer-to-peer payments,3325473
Jharkhand,2019-Q1,Peer-to-peer payments,5952105
Jharkhand,2019-Q2,Peer-to-peer payments,5155937
Jharkhand,2019-Q3,Peer-to-peer payments,5708187
Jharkhand,2019-Q4,Peer-to-peer payments,10301226
Jharkhand,2020-Q1,Peer-to-peer payments,8196850
Jharkhand,2020-Q2,Peer-to-peer payments,8724053
Jharkhand,2020-Q3,Peer-to-peer payments,11984094
Jharkhand,2020-Q4,Peer-to-peer payments,17120664
Jharkhand,2021-Q1,Peer-to-peer payments,19151083
Jharkhand,2021-Q2,Peer-to-peer payments,24184568
Karnataka,2018-Q1,Recharge & bill payments,5785292
Karnataka,2018-Q2,Recharge & bill payments,7391926
Karnataka,2018-Q3,Peer-to-peer payments,12863507
